,title,main
0,"금융·경제 분야 AI·디지털 혁신 도모..네이버, 한국은행과 맞손","네이버 제2사옥 1784(사진=네이버) *재판매 및 DB 금지 /사진=뉴시스 [파이낸셜뉴스] 네이버와 한국은행이 첨단 IT 기술 기반의 금융·경제 분야 혁신 도모를 위해 힘을 모은다.   네이버와 한국은행은 22일 서울시 중구에 위치한 한국은행에서 이를 위한 업무 협약식을 맺었다. 협약식에는 최수연 네이버 대표와 이창용 한국은행 총재 등이 참석했다.   이번 업무협약에 따라 네이버와 한국은행은 IT와 금융·경제 각 분야에서 보유한 전문성과 노하우, 기술 역량을 융합해, AI 언어모델의 활용 범위를 금융·경제 분야로 확대하는 데 협력한다. 또 네이버의 초대규모AI ‘하이퍼클로바X’를 활용해 한국은행이 보유한 다양한 자료를 검색·요약·추천해주는 대국민 서비스도 제공하겠다는 계획이다.   이외에도 네이버는 AI, 빅데이터, IoT, 클라우드 등 첨단 IT기술들을 한국은행 업무에 접목해 생산성을 향상시키는 방안에 대해서도 함께 협력하기로 했다.   최수연 네이버 대표는 “금융·경제 분야의 최전선에 있는 한국은행과 IT·플랫폼 기술의 최전선에 있는 네이버가 상호 협력을 통해 금융·경제 분야의 새로운 기술적 혁신을 도모하고, 나아가 국민들이 보다 편리하게 사용할 수 있는 서비스 개발까지 이어질 수 있도록 노력하겠다”고 말했다.   이창용 한국은행 총재는 “최근 디지털 기술의 놀랄만한 발전으로 디지털 경제로의 전환이 가속화되는 상황에서 네이버의 IT 기술력을 통해 한국은행의 정책･조사 역량을 한층 강화하고 대국민 서비스의 품질을 향상시킬 수 있을 것으로 기대한다”고 말했다."
1,"카카오게임즈, 경기도 아동 대상 놀이봉사 실시 및 기부금 전달","임직원 참여형 사회공헌 사업 ‘다가치 나눔파티’ 일환, 그룹홈 아동 대상 따뜻한 연말 선사



카카오게임즈는 임직원들이 지난 21일 성남시 중원구에 위치한 월드비전 성남종합사회복지관을 찾아 경기도 권역 내 그룹홈 아동들을 대상으로 놀이봉사를 실시하고 관련 기부금을 전달했다고 22일 밝혔다. [사진 카카오게임즈][이코노미스트 원태영 기자]카카오게임즈는 임직원들이 지난 21일 성남시 중원구에 위치한 월드비전 성남종합사회복지관을 찾아 경기도 권역 내 그룹홈 아동들을 대상으로 놀이봉사를 실시하고 관련 기부금을 전달했다고 22일 밝혔다.이번 봉사 및 기부금 전달은 카카오게임즈의 임직원 참여형 사회공헌 사업인 ‘다가치 나눔파티’의 일환으로, 연말을 맞아 그룹홈 거주 아동들을 대상으로 따뜻한 크리스마스 추억을 선물하는 취지로 기획됐다. 그룹홈이란, 보호를 필요로 하는 아동에게 가정과 같은 주거여건과 보호를 제공, 건전한 사회인으로 성장토록 지원하는 기관을 말한다.이번 놀이봉사에 참여한 임직원들은 초등학생 그룹홈 아동들과 1대 1로 짝을 지어 함께 크리스마스 케이크와 카드를 만들고 마술공연을 관람하는 등 즐거운 시간을 보냈다. 또한 임직원 기부에 회사 매칭 그랜트로 모인 성금 1,041만 원을 유력 NGO인 월드비전에 전달, 아동들에게 패딩 및 크리스마스 선물과 향후 그룹홈 생활을 지원할 예정이다.카카오게임즈 관계자는 “연말을 맞아 임직원들이 직접 아동들을 찾아 함께 시간을 보내고 따뜻한 나눔을 실천했다는 것에 의의가 있다”며 “앞으로도 도움이 필요한 곳에 임직원과 뜻을 모아 사회 곳곳에 온기를 전파하고자 한다”고 말했다.한편, 카카오게임즈는 사내 나눔 문화 강화를 위해 올해 3월부터 임직원 참여형 나눔 프로젝트 ‘다가치 나눔파티’를 도입, 분기별 기부 및 반기별 봉사 프로그램을 운영하고 있다. 올해 장애인 표준사업장 ㈜링키지랩 소속 직원들에게 바리스타 업무를 배워보는 ‘다가치 크루카페’를 비롯해, 임직원들의 자발적 기부 및 회사 매칭 그랜트로 모인 성금을 경기도 학대피해 장애아동 쉼터, 충청남도 산림피해 복구 사업에 기부하는 등 다양한 기부 및 봉사 프로그램을 활발하게 진행 중이다."
2,"네이버 AI, 한은 금융·경제 데이터도 학습한다","네이버, 한은과 인공지능 서비스 개발 손잡아



22일 네이버와 한국은행은 서울시 중구에 있는 한국은행에서 인공지능 분야 협력을 위한 업무 협약식을 체결했다. 업무 협약식에는 최수연 네이버 대표와 이창용 한국은행 총재(가운데)가 참석했다. 사진 네이버 제공국내 금융 분야와 각종 경제 관련 데이터가 쌓여있는 한국은행이 네이버와 손잡고 인공지능 서비스 구축에 나선다.22일 네이버와 한국은행은 서울시 중구에 있는 한국은행에서 인공지능 분야 협력을 위한 업무 협약식을 체결했다. 업무 협약식에는 최수연 네이버 대표와 이창용 한국은행 총재가 참석했다. 네이버와 한국은행은 이번 업무협약을 인공지능 언어모델의 활용 범위를 금융·경제 분야로 확대하는 데 협력해나가기로 했다. 네이버의 인공지능 기술과 한국은행이 금융·경제 각 분야에서 보유한 데이터 등의 역량을 융합하겠다는 것이다. 또 네이버는 자체개발한 초대규모 인공지능 모델 ‘하이퍼클로바엑스(X)’를 활용해 한국은행이 보유한 다양한 자료를 검색·요약·추천해주는 대국민 서비스도 제공하겠다는 계획이다.한국은행의 생산성 향상에도 인공지능이 쓰인다. 네이버는 인공지능, 빅데이터, 사물인터넷(IoT), 클라우드 등 첨단 기술들을 한국은행 업무에 접목해 생산성을 향상하는 방안에 대해서도 함께 협력하기로 했다고 밝혔다. 최수연 네이버 대표는 “금융·경제 분야의 최전선에 있는 한국은행과 정보통신·플랫폼 기술의 최전선에 있는 네이버가 상호 협력을 통해 금융·경제 분야의 새로운 기술적 혁신을 도모하고, 나아가 국민이 보다 편리하게 사용할 수 있는 서비스 개발까지 이어질 수 있도록 노력하겠다”고 말했다.이창용 한국은행 총재는 “최근 디지털 기술의 놀랄만한 발전으로 디지털 경제로의 전환이 가속화되는 상황에서 네이버의 기술력을 통해 한국은행의 정책･조사 역량을 한층 강화하고 대국민 서비스의 품질을 향상할 수 있을 것으로 기대한다”고 말했다."
3,"핑거, MSP 사업 진출…금융권 공급 본격","핑거(대표 안인주)는 네이버클라우드, NHN 클라우드, KT클라우드와 클라우드 서비스 관리자(MSP) 계약을 체결하고 클라우드 MSP사업에 진출한다고 22일 밝혔다.핑거는 이번 계약 체결을 통해 제1, 2금융권 및 핀테크 클라우드 구축 수요에 체계적인 대응을 할 수 있는 기반을 마련했다.다년간 쌓아 온 클라우드 기반의 서비스 노하우를 결합해 점점 증가하는 금융권 하이브리드 클라우드 구축 수요에 대한 상황 대응력을 높일 수 있게 됐다는 것이 회사측의 설명이다.



핑거핑거는 블록체인, AI, NFT생성 데이터 기술 등 핀테크 관련 핵심 기술을 보유하고 있다. 이를 바탕으로 토큰증권(STO), 중앙은행 디지털화폐(CBDC) 등 금융권 신사업 구축 시장에서 사업을 진행하고 있다.가상계좌, 해외송금, PG, 스크래핑 데이터 등 자체 서비스에 대해 6년 전부터 프라이빗 클라우드를 기반으로 꾸준히 클라우드 구축 및 운영 노하우를 쌓아 왔다. 전자금융사업자로서 전자금융감독규정에 따라 클라우드 보안 유지 및 운영에 대한 기술력을 확보했으며, 올해 하반기에는 금감원의 서비스 안정성 지침에 발맞춰 프라이빗 클라우드 DR(재해복구) 구성을 완료한 바 있다.최근 2년간 은행권의 메타버스와 배달앱 서비스를 퍼블릭 클라우드에 금융 랜딩존 기반으로 구축해 운영을 대행하고 있으며, 자원순환재생센터 등 퍼블릭 클라우드 기반 고객 서비스를 성공적으로 구축한 경험도 갖고 있다.자체 메타버스 서비스인 ‘독도버스’도 퍼블릭 클라우드에 구축해 서비스 중이다. 또한 NHN클라우드에 중소기업 대상 비즈니스웨어 ‘파로스’를 구축하고 있으며, 내년 초 서비스 개시를 목표로 하고 있다.안인주 핑거 대표는 “국내 주요 3사와 클라우드 MSP 계약 체결로 금융 고객사의 기대에 부응할 수 있게 됐다”며 “이번 계약 체결을 계기로 금융권 클라우드 기반 신사업 구축에 적극적으로 도전할 것”이라고 말했다."
4,DGB대구은행 'AI은행원 한아름 개발'…내부 활용 거쳐 범위 확대,"DGB대구은행 'AI은행원 한아름 개발' *재판매 및 DB 금지[대구=뉴시스] 박준 기자 = DGB대구은행은 디지털 역량 강화 및 금융 서비스 혁신을 위한 AI은행원 개발을 마치고 내부 활용을 시작했다고 22일 밝혔다.AI Human제작 서비스 및 콘텐츠 제작을 제공하고 있는 ㈜이스트소프트와 지난 여름부터 시범사업을 실시해 제작에 나선 DGB대구은행은 AI모델 은행원 '한아름'을 선보였으며 다양한 활용으로 고객 편의 제고에 나선다는 방침이다. 우선 내부 직원을 대상으로 활용에 나섰는데 사내 방송 및 직원 교육 프로그램에 활용하고 있으며 은행 SNS 플랫폼 등에 사용을 검토하고 있다. AI휴먼은 현존 최고 화질의 영상 합성을 지원하며 모두에게 우수한 한글 발화 성능이 돋보인다. 특히 마이크로소프트의 음성변환기술 TTS를 접목해 110여개국의 75종 언어를 450여종의 목소리로 발화할 수 있는 등의 다양한 기능은 외국인 고객 편의 향상에도 도움을 줘 동남 아시아 등 해외진출에 AI 기술을 적용할 것으로 기대를 모은다. DGB대구은행은 생성형 AI와 연계한 실시간 상담을 궁극적 개발 목표로 정하고 AI키오스크 운영, AI 기반 모바일 서비스 운영 등 디지털 트랜스포메이션을 통해 업무 생산성과 고객 만족도 향상에 힘쓰겠다는 목표다.이상근 ICT본부 부행장은 ""시공간 제약없는 AI 은행원 활용으로 고객 편의를 제고하고 임직원 업무생산성을 향상시켜 더욱 발전된 금융서비스를 제공해 시중은행 전환 시기에 힘을 싣겠다""고 말했다."
5,"NHN클라우드, ‘2024년 클라우드 시장 전망’ 발표","NHN클라우드(대표 백도민, 김동훈)는 ‘2024년 클라우드 시장 전망’을 22일 발표했다.NHN클라우드는 내년 클라우드 시장 주요 동향을 ▲업무망 활용 등 공공분야 SaaS 도입 가속화 ▲기술 중심 '클라우드 네이티브'로의 전환 ▲클라우드 특화 보안 전략 채택 ▲금융권 핵심업무시스템 클라우드 추진 ▲AI GPU 고수요 지속 등 5개 트렌드로 전망했다.NHN클라우드 김동훈 공동대표는 “다가오는 2024년, 경기침체에 대응할 기업의 효율 극대화 도구로써 클라우드가 활용될 것으로 예상한다”며 “산업 전반에서 클라우드를 활용한 혁신의 노력이 결실을 볼 수 있도록 NHN클라우드가 최적의 서비스를 제공할 것”이라고 설명했다.



1. 업무망 활용 등 공공분야 SaaS 도입 가속최근 공공 부문의 민간 SaaS 도입 및 활용이 확대되고 있는 가운데, 내년에도 정부의 SaaS 산업 육성 기조로 SaaS 활용이 더욱 가속화될 것으로 전망된다. 기존 빈도가 낮았던 내부 업무망에서의 SaaS 도입이 늘 것으로 보인다. 보안성 검토나 보안 인증 완료 등 신뢰성이 높은 SaaS에 대한 수요가 시장에서 증가할 것으로 예상한다. 이외에도 협업툴, 인사 및 재무관리, 보안 등 기존 수요가 높은 SaaS와 더불어 AI 컨택 센터, 통합 메시징 서비스 등 다채로운 분야의 SaaS 수요가 높아질 것으로 전망된다.2. 기술 중심 '클라우드 네이티브'로의 전환내년 금융, 공공, 제조, IT 등 주요 영역에서 ‘클라우드 네이티브’로의 전환이 본격화할 것으로 예상한다. 클라우드 네이티브란 클라우드 환경을 토대로 애플리케이션을 구축, 배포 및 관리하는 소프트웨어 개발 접근 방식이다. 시스템 설계 단계부터 클라우드 환경 최적화를 반영하거나 기존 시스템을 클라우드 호환 시스템으로 재설계하는 과정이 활발히 전개될 것으로 보인다.클라우드 네이티브 전환을 위한 기술 파트너와의 전략적 협업이 늘고 전문 기술 지원 서비스가 시장에서 활성화하는 등 클라우드 생태계가 더욱 확장할 것으로 전망된다. 또, ‘오픈스택’과 같은 오픈소스와 마이크로서비스 아키텍처(MSA) 설계 등을 채택해 클라우드 네이티브 이점을 극대화하는 노력이 이어질 것으로 예상한다.3. 클라우드 특화 보안 전략 채택클라우드 보안 중요성이 강조되는 가운데, 클라우드 환경에 특화된 클라우드 보안 전략이 시장에서 빠르게 성장할 것으로 예상한다. 특히 엄격한 사용자 인증 방법론을 바탕으로 내부 정보 자산을 보호하도록 설계한 보안 모델 '제로 트러스트’를 핵심 클라우드 보안 전략으로 채택하는 기업이 증가할 것이다. 또, ‘클라우드 보안 관제 서비스’ 등을 이용해 보안 현황을 모니터링하고 클라우드 환경 설정, 운영 최적화 등 클라우드 환경 전반이나 보안 정책의 가이드를 제공받는 전문 보안 서비스 이용 전략도 시장에서 다시금 주목받을 것으로 전망된다.4. 금융권 핵심업무시스템 클라우드 추진선도적으로 실행되고 있는 금융분야 핵심서비스 클라우드 전환 프로젝트가 본격 궤도에 오르며 금융권 전반으로 확산할 것으로 전망된다. 내년 금융영역에서 토큰증권, 외부 SaaS 허용 등 ‘오픈뱅킹’ 시대에 걸맞은 오픈플랫폼으로의 변화 과제와 함께 서비스 안정성과 보안을 동시에 충족하기 위한 기술 접목이 시도될 것이다. 우선해 클라우드 기반 금융 플랫폼 구축을 위한 연구개발이 활발히 이뤄지며 오픈플랫폼 활용성을 제고해 나갈 것으로 예상한다. 이와 연계해 ‘금융 클라우드 랜딩 존’과 ‘클라우드 운영 및 기술 지원 전문성’ 등의 중요도가 더욱 증가할 것이다.5. AI GPU 고수요 지속생성형 AI의 파급효과로 AI 기술 개발이 격화되고 있다. 현재 반도체 경쟁부터 기술 주권 확보까지 AI를 중심으로 한 글로벌 경쟁 구도가 심화하고 있다. 2024년에도 AI 기술 발전을 위해 많은 투자와 연구개발이 이뤄질 것이다. 따라서 AI GPU 고수요 현상이 지속될 것으로 전망된다. 이에 대응해 AI GPU 이용이 가능한 클라우드 서비스의 수요 또한 점차 증가할 것이다. 특히 미리 초고성능 GPU를 확보하고 서비스를 제공하는 CSP와 AI 서비스 기업 간의 협업 모델이 본격화될 것으로 보인다."
6,"애플, 아이폰에서 LLM 어떻게 돌릴까","애플의 인공지능(AI) 연구진들이 새로운 플래시 메모리 활용 기술을 통해 메모리가 제한된 아이폰등 애플 기기에서 대규모 언어모델(LLM)을 활용할 수 있는 기술을 개발했다.AP, 파이낸셜타임스 등 외신들은 21일(현지시간) 애플 연구진이 최근 두 편의 논문을 통해 제한된 메모리 환경에서 LLM 기술을 활용하는 기술을 공개했다고 보도했다.



사진=씨넷■ 애플, ‘플래시 메모리 활용’ AI 데이터 저장 기술 개발챗GPT 등 LLM 기반 챗봇은 구동 시 막대한 양의 메모리가 필요하다. 그렇기 때문에 메모리 용량이 제한된 아이폰에서 이를 어떻게 구현할 지에 많은 사람들의 관심이 모아졌다.이 문제를 해결하기 위해 애플 연구진은 플래시 메모리를 사용해 AI 모델의 데이터를 저장하는 새로운 기술을 개발했다. 애플은 '플래시의 LLM : 제한된 메모리를 사용한 효율적인 LLM 추론'이라는 제목의 논문에서 LLM 실행에 전통적으로 많이 사용되는 램보다 모바일 기기에서는 플래시 메모리가 더 효과적이라고 설명했다.또, 아이폰에 LLM을 탑재하는 방법으로 매번 새로운 데이터를 로드하지 않고 이미 처리한 데이터중 일부를 재사용해 데이터 전송을 줄이는 ‘윈도우잉’(Windowing) 기술과 플래시 메모리에 저장해 읽는 데이터 블록의 크기를 늘리는 ‘행-열 번들링’(Row-Column Bundling) 두 가지 방법을 제안했다.이 기술을 통해 애플의 AI 모델은 아이폰의 사용 가능한 메모리 크기의 최대 두 배까지 실행 가능하며, 이는 CPU의 속도가 4~5배 증가하고 GPU의 경우 20~25배 더 빠른 속도를 의미한다고 연구진은 설명했다.■ 똑똑해진 시리·애플표 챗GPT 진행상황은?



사진=씨넷애플은 지난 2월 AI 서밋을 개최해 직원 대상으로 LLM 작업에 대해 브리핑한 것으로 알려져 있으며, 블룸버그 통신은 애플은 AI 기술을 통합해 더욱 똑똑해진 시리를 개발 중이라고 보도했다.또, 애플은 ‘에이젝스’(Ajax)라고 불리는 자체 생성 AI 모델을 개발 중이다. 오픈AI의 GPT-3, GPT-4와 경쟁하도록 설계된 에이젝스는 애플 전체의 머신러닝 개발을 통합하는 것을 목표로 하고 있다.최신 보고서에 따르면, 에이젝스는 이전 세대 챗GPT 3.5보다 더 뛰어난 것으로 알려져 있으나, 2023년 9월 현재 오픈AI의 최신 모델은 에이젝스보다 더 발전했을 것이라는 전망이 나와있다고 IT매체 맥루머스는 전했다.IT매체 디인포메이션과 홍콩 하이통 증권 분석가 제프 푸에 따르면, 애플은 iOS18가 출시되는 내년 말에 아이폰과 아이패드에 생성 AI 기능을 탑재할 것으로 예상된다. 제프 푸는 지난 10월 애플이 올해 수백 대의 AI 서버를 구축했으며 내년에는 더 많은 서버를 구축할 것이라고 밝힌 바 있다."
7,"AI은행원 ‘한아름’ 등장… DGB대구은행, 사내 방송·교육 활용","DGB대구은행(은행장 황병우)은 디지털 역량 강화 및 금융 서비스 혁신을 위한 AI은행원 개발을 마치고 내부 활용을 시작했다고 22일 밝혔다.AI Human 제작 서비스 및 콘텐츠 제작을 제공하고 있는 ㈜이스트소프트와 지난여름부터 시범사업을 실시해 제작에 나선 DGB대구은행은 AI모델 은행원 ‘한아름’을 선보였으며, 다양한 활용으로 고객 편의 제고에 나선다는 방침이다.



대구은행 AI은행원 '한아름'우선 내부 직원을 대상으로 활용에 나섰는데 사내 방송 및 직원 교육 프로그램에 활용하고 있으며 은행 SNS 플랫폼 등에 사용을 검토하고 있다.AI휴먼은 현존 최고 화질의 영상 합성을 지원하며 모두에게 우수한 한글 발화 성능이 돋보인다. 특히 마이크로소프트의 음성변환기술 TTS를 접목해 110여개국의 75종 언어를 450여종의 목소리로 발화할 수 있는 등의 다양한 기능은 외국인 고객 편의 향상에도 도움을 줘 동남 아시아 등 해외진출에 AI 기술을 적용할 것으로 기대를 모은다.DGB대구은행은 생성형 AI와 연계한 실시간 상담을 궁극적 개발 목표로 정하고 AI 키오스크 운영, AI 기반 모바일 서비스 운영 등 디지털 트랜스포메이션을 통해 업무 생산성 및 고객 만족도 향상에 힘쓰겠다는 목표다.이상근 대구은행 ICT 본부 부행장은 “시공간 제약없는 AI 은행원 활용으로 고객 편의를 제고하고 임직원 업무 생산성을 향상해 더욱 발전된 금융서비스를 제공해 시중은행 전환 시기에 힘을 싣겠다”는 뜻을 전했다."
8,"""시리야!""로 AI 선도했던 애플…잇단 연구결과로 재도약 노린다","이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다.



사진=AP애플 연구진이 아이폰 등 모바일 기기 전용 생성형 인공지능(AI) 기술을 공개했다. 10여년 전 시리(Siri)로 세계 최초의 가상 비서 서비스를 선보인 애플이 최근 생성형 AI 경쟁에서는 뒤처진 가운데, 이번 연구를 통해 재도약을 모색하고 있다는 분석이 나온다.파이낸셜타임스(FT)는 21일(현지시간) ""애플이 이달 들어서만 2가지 생성형 AI 관련 연구 논문을 발표하며 오픈AI 등 경쟁사들을 따라잡을 채비에 나섰다""고 전했다. 애플은 2011년 시리를 내놓은 이후 AI 분야에서 더 큰 진전을 보이지 못했다. 특히 지난해 말 오픈AI의 챗GPT가 촉발한 생성형 AI 경쟁에서 마이크로소프트, 구글 등 다른 빅테크(대형 기술기업)들에도 뒤처졌다는 평가를 받았다.애플이 최근 연달아 발표한 생성형 AI 연구 결과는 이 같은 전세를 단숨에 역전시킬 수 있을 것이란 기대를 받고 있다. FT는 ""지난 12일 공개된 두 번째 논문 '플래시 속에서의 LLM(대규모 언어모델)'은 발표 이후 AI 전문 플랫폼 허깅페이스에 의해 집중 조명되면서 연구자들 사이에서 화제가 되고 있다""고 전했다.해당 논문은 제한된 용량의 메모리 칩이 내재된 스마트폰 기기에서 LLM 추론을 효과적으로 진행할 수 있는 방법을 담고 있다. 연구원들은 ""논문대로면 작은 기기에서 LLM 계산의 병목 현상을 해결할 수 있다""고 설명했다. 추론이란 LLM이 사용자의 질의에 응답하는 방식을 말한다. 일반적인 LLM 모델은 수천억 개의 매개변수(파라미터)를 포함하고 있어 아이폰 같은 스마튼폰 기기보다 훨씬 더 큰 컴퓨팅 성능을 갖춘 데이터 저장소에서만 실행이 가능했다.하지만 애플은 이번 연구를 통해 LLM 매개변수를 플래시 메모리에 저장하고 추론하는 과정에서 D램으로의 데이터 전송을 최소화할 수 있다. 애플은 이보다 앞서 스테이블 디퓨전과 같은 이미지 생성 AI 모델을 맞춤형 칩에서 실행할 수 있도록 하는 연구 결과물도 내놨다. 휴먼 가우시안 스플랫(HUGS)이라는 기술을 통해 별도의 장비 없이 한 대의 아이폰 카메라로 촬영한 동영상을 활용해 3D 애니메이션 아바타를 생성할 수 있다.애플은 이 같은 연구 결과물들을 토대로 아이폰에서 직접 실행할 수 있는 생성형 AI 개발에 집중할 것이란 전망이다. 이는 마이크로소프트, 구글 등이 방대한 클라우드 컴퓨팅 플랫폼에서 관련 서비스를 제공하는 데 주력하고 있는 것과 차별화되는 지점이다. 시장 조사 업체 카운터포인트에 따르면 내년에 AI 기반 스마트폰 출하량은 1억 대 이상에 달할 것으로 추정된다.2027년까지 신형 스마트폰들 중 AI 기술을 탑재한 기기는 40%에 이를 전망이다. 세계 최대 모바일 칩 제조업체인 퀄컴의 최고경영자(CEO) 크리스티아노 아몬은 ""스마트폰에 AI를 도입하면 소비자에게 새로운 경험을 선사하고 모바일 기기의 판매 감소세를 반전시킬 수 있을 것""이라고 말했다."
9,"민원에 사람처럼 대답하는 AI… 화성시, 선제 도입","경기 화성시가 이르면 내년 상반기 도입하는 ‘민원상담 인공지능 어시스턴트 시스템’ 화면. 화성시청 제공  화성=박성훈 기자이르면 내년 경기 화성시에 인공지능(AI)을 활용한 민원 상담이 시작된다. 주민들은 기계가 사람처럼 대답하는 창구에 민원을 제기하고, 빠른 속도로 답을 받을 수 있게 된다.시는 21일 네이버가 개발한 AI를 기반으로 한 신개념 민원창구인 ‘민원 상담 AI 어시스턴트 시스템’을 구축했다고 밝혔다. 기존 AI보다 큰 용량의 정보를 스스로 학습·추론하는 차세대 인공지능이 도입돼 사람에 가까운 대화를 할 수 있다는 설명이다. 시는 이 시스템을 활용해 민원 분류와 응답, 안내 등을 수행한다. 종전 시스템과 비교할 때 민원인이 원하는 정보를 보다 신속·정확하게 제공해 응답 시간을 대폭 단축할 수 있다는 장점을 지닌다. 이 서비스는 디지털플랫폼 정부 실현 계획의 핵심 과제로 과학기술정보통신부가 주관한 ‘초거대 AI 활용 공공사업 모델 공모’ 사업에서 대상에 선정돼 추진돼 왔다.정명근 화성시장은 ""디지털 심화 기술을 민원 행정에 접목해 시민에게 보다 신속하고 정확한 정보를 제공해 드릴 수 있게 됐다""며 ""앞으로도 100만 도시에 걸맞은 수준 높은 행정 서비스 제공을 위해 노력하겠다""고 말했다."
